Scheme_Code,Category,Scheme_Name,AMC_Name
118650,Multi Cap Fund,Nippon India Multi Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund
120599,Multi Cap Fund,ICICI Prudential Multicap Fund - Direct Plan -  Growth,ICICI Prudential Mutual Fund
147183,Multi Cap Fund,ITI Multi Cap Fund - Direct Plan - Growth Option,ITI Mutual Fund
119354,Multi Cap Fund,Baroda BNP Paribas MULTI CAP FUND - Direct Plan - Growth Option,Baroda BNP Paribas Mutual Fund
148404,Flexi Cap Fund,BANK OF INDIA Flexi Cap Fund Direct Plan -Growth,Bank of India Mutual Fund
120843,Flexi Cap Fund,quant Flexi Cap Fund - Growth Option-Direct Plan,Quant Mutual Fund
118955,Flexi Cap Fund,HDFC Flexi Cap Fund - Growth Option - Direct Plan,HDFC Mutual Fund
120492,Flexi Cap Fund,JM Flexicap Fund (Direct) - Growth Option,JM Financial Mutual Fund
120046,Flexi Cap Fund,HSBC Flexi Cap Fund - Direct Growth,HSBC Mutual Fund
119727,Focused Fund,SBI FOCUSED FUND - DIRECT PLAN -GROWTH,SBI Mutual Fund
118950,Focused Fund,HDFC Focused Fund - Growth Option - Direct Plan,HDFC Mutual Fund
118564,Focused Fund,Franklin India Focused Equity Fund - Direct - Growth,Franklin Templeton Mutual Fund
120722,Focused Fund,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund
120468,Focused Fund,Axis Focused Fund - Direct Plan - Growth Option,Axis Mutual Fund
120323,Value Fund,ICICI Prudential Value Fund (erstwhile Value Discovery Fund) - Direct Plan - Growth,ICICI Prudential Mutual Fund
120486,Value Fund,JM Value Fund (Direct) - Growth Option,JM Financial Mutual Fund
118494,Value Fund,Templeton India Value Fund - Direct - Growth,Franklin Templeton Mutual Fund
118784,Value Fund,Nippon India Value Fund - Direct Plan Growth Plan,Nippon India Mutual Fund
119231,Value Fund,Tata Value Fund -Direct Plan Growth Option,Tata Mutual Fund
129312,Dividend Yield Fund,ICICI Prudential Dividend Yield Equity Fund Direct Plan Growth Option,ICICI Prudential Mutual Fund
119507,Dividend Yield Fund,Aditya Birla Sun Life Dividend Yield Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund
120749,Dividend Yield Fund,UTI-Dividend Yield Fund.-Growth-Direct,UTI Mutual Fund
